,mileage,make,model,fuel,gear,price,hp,year
376,14584,7,107,1,2,48860,245.0,2019
377,60548,48,302,2,2,48977,340.0,2019
378,7441,70,793,2,2,49990,190.0,2019
379,34444,7,602,1,2,51980,400.0,2019
380,24350,69,727,2,2,56450,286.0,2019
381,15690,69,727,2,2,61950,286.0,2019
382,2300,70,793,3,2,64800,392.0,2019
383,12100,48,206,2,2,66890,286.0,2019
384,28744,69,705,2,2,74990,199.0,2019
385,14500,69,705,2,2,77905,199.0,2019
386,8770,34,327,1,2,79980,551.0,2019
387,23864,28,333,1,1,12970,95.0,2020
388,25885,28,333,1,1,12980,95.0,2020
389,5,60,241,1,1,12995,101.0,2020
390,19990,28,333,1,1,13330,95.0,2020
391,2438,62,428,1,1,13950,80.0,2020
392,50,62,129,1,1,14490,95.0,2020
393,18805,28,316,1,1,14990,101.0,2020
394,9990,28,316,1,1,15490,101.0,2020
395,18365,28,316,1,1,15790,101.0,2020
396,23560,28,333,1,1,15880,125.0,2020
397,9990,28,333,3,1,15970,125.0,2020
398,6315,28,333,3,1,16450,125.0,2020
399,4246,46,12,1,1,16880,90.0,2020
400,11570,28,337,2,1,19390,150.0,2020
401,7360,28,337,2,1,19790,150.0,2020
402,5050,28,337,2,1,19970,150.0,2020
403,8125,28,337,2,1,19990,150.0,2020
404,50,28,574,1,1,19990,125.0,2020
405,5050,28,337,2,1,20385,150.0,2020
406,135000,72,822,2,2,3940,54.0,2011
407,234730,53,132,2,2,3949,160.0,2011
408,42571,30,823,1,1,3950,69.0,2011
409,368777,69,219,6,1,3950,109.0,2011
410,130274,28,176,1,1,3950,150.0,2011
411,107517,30,823,1,1,3950,67.0,2011
412,199726,63,624,2,1,3980,90.0,2011
413,178304,28,337,2,1,3990,109.0,2011
414,213990,30,826,2,1,3990,90.0,2011
415,103000,30,823,1,1,3990,69.0,2011
416,416000,53,432,2,1,3990,160.0,2011
417,104500,52,534,1,1,3990,88.0,2011
418,169500,60,506,2,1,3990,106.0,2011
419,43000,30,823,1,1,3990,69.0,2011
420,51174,27,551,1,1,3990,69.0,2011
421,199000,53,132,2,1,3999,110.0,2011
422,110000,72,822,1,2,3999,61.0,2011
423,99121,55,14,1,1,3999,60.0,2011
424,202000,28,337,2,1,3999,95.0,2011
425,93000,72,822,1,2,4795,71.0,2012
426,131663,28,333,1,1,4799,60.0,2012
427,137500,69,833,1,1,4800,75.0,2012
428,122600,55,15,1,1,4800,120.0,2012
429,81698,69,833,1,1,4804,60.0,2012
430,87000,53,274,1,1,4850,69.0,2012
431,89000,36,559,1,1,4870,69.0,2012
432,26147,60,745,1,1,4890,75.0,2012
433,81500,68,143,1,1,4899,68.0,2012
434,119600,28,333,1,1,4900,82.0,2012
435,153289,30,826,5,1,4900,109.0,2012
436,322418,63,536,2,2,4900,140.0,2012
437,52000,28,333,1,2,4900,97.0,2012
438,56000,28,446,1,1,4900,69.0,2012
439,276000,7,103,2,1,4900,140.0,2012
440,215000,28,337,2,1,4900,116.0,2012
441,159999,27,291,2,1,4900,90.0,2012
442,81000,68,143,1,1,4900,68.0,2012
443,120185,62,428,2,1,4948,105.0,2012
444,116000,62,428,1,1,4950,86.0,2012
445,99000,28,446,1,1,4999,69.0,2013
446,175000,36,231,2,1,4999,128.0,2013
447,74415,27,415,1,1,4999,69.0,2013
448,42000,30,824,1,1,4999,86.0,2013
449,85571,36,613,1,1,5000,86.0,2013
450,473000,48,297,2,2,5000,136.0,2013
451,68900,28,446,1,1,5100,69.0,2013
452,73350,63,238,1,1,5180,60.0,2013
453,124000,28,333,2,1,5200,75.0,2013
454,162300,53,116,1,1,5200,69.0,2013
455,38220,68,143,1,1,5200,68.0,2013
456,109500,36,613,1,1,5200,86.0,2013
457,115000,16,285,1,1,5200,120.0,2013
458,94000,62,428,1,1,5200,69.0,2013
459,74000,21,478,1,1,5200,90.0,2013
460,150000,36,613,1,1,5200,86.0,2013
461,58200,28,333,1,1,5200,60.0,2013
462,150000,36,764,2,1,5200,90.0,2013
463,78000,28,446,1,1,5250,69.0,2013
464,95000,21,670,1,1,5250,90.0,2013
465,50500,28,333,1,1,5990,60.0,2015
466,50531,72,822,1,2,5990,71.0,2015
467,55650,50,683,1,1,5990,71.0,2015
468,42000,62,509,1,1,5990,60.0,2015
469,174418,62,428,2,1,5990,105.0,2015
470,179850,28,337,2,1,5999,120.0,2015
471,54777,28,333,1,1,5999,60.0,2015
472,37200,63,238,1,1,6000,60.0,2015
473,45000,72,822,1,1,6000,71.0,2015
474,93000,27,577,1,1,6000,69.0,2015
475,118000,63,332,2,1,6000,90.0,2015
476,100000,30,823,1,1,6180,87.0,2015
477,79100,52,508,1,1,6199,80.0,2015
478,87370,63,332,1,1,6199,86.0,2015
479,157300,27,577,1,1,6200,77.0,2015
480,61880,60,745,1,1,6200,71.0,2015
481,45000,52,508,1,1,6200,80.0,2015
483,132000,28,333,2,1,6250,95.0,2015
484,77559,53,274,1,1,6290,69.0,2015
485,42000,28,461,1,1,13790,120.0,2016
486,147000,8,35,2,1,13999,190.0,2016
487,88250,53,132,2,1,14390,136.0,2016
488,106000,53,813,2,2,14750,170.0,2016
489,46100,53,514,2,1,14950,136.0,2016
490,52500,53,514,2,1,15250,136.0,2016
491,142000,8,39,2,2,16490,258.0,2016
492,38500,69,728,1,1,16500,110.0,2016
493,136498,28,642,2,2,18450,179.0,2016
494,112300,7,104,2,2,18450,190.0,2016
495,12600,28,739,2,1,19900,155.0,2016
496,210000,8,66,2,2,19900,258.0,2016
497,9350,48,351,1,1,19950,122.0,2016
498,34300,48,94,1,2,20899,102.0,2016
499,139500,8,48,2,2,21700,258.0,2016
500,133500,7,107,2,2,22350,272.0,2016
501,93500,8,62,2,2,23999,184.0,2016
502,93500,8,62,2,2,23999,184.0,2016
503,188500,8,67,2,2,24499,313.0,2016
504,98500,69,708,2,1,28850,102.0,2016
505,16500,48,298,2,2,30888,194.0,2017
506,67500,48,298,2,2,30888,194.0,2017
507,49000,28,337,1,1,30900,349.0,2017
508,49500,48,168,1,2,31290,211.0,2017
509,59658,48,169,1,2,31487,245.0,2017
510,27000,28,461,2,2,31690,179.0,2017
511,53501,70,793,2,2,31899,190.0,2017
512,67000,48,100,1,2,31900,381.0,2017
513,50000,48,362,2,2,32666,204.0,2017
514,27491,28,337,1,1,32900,349.0,2017
515,45000,7,644,1,2,32900,310.0,2017
516,71494,48,364,2,2,32980,258.0,2017
517,36977,70,762,1,2,33280,254.0,2017
518,22181,70,793,2,2,33590,220.0,2017
519,29973,7,104,1,2,33650,252.0,2017
520,86900,70,795,2,2,33749,235.0,2017
521,86419,7,581,2,2,33920,190.0,2017
522,113000,7,665,2,2,33990,326.0,2017
523,43990,70,793,2,2,34760,220.0,2017
524,38951,48,362,2,2,36490,204.0,2017
525,32000,18,133,1,2,33900,300.0,2018
526,125000,48,752,2,2,33980,163.0,2018
527,51050,8,62,2,2,33990,190.0,2018
528,87107,7,107,2,2,34400,272.0,2018
529,27586,7,106,1,2,34589,190.0,2018
530,74426,7,581,2,2,34820,163.0,2018
531,87582,7,106,2,2,34820,218.0,2018
532,54000,48,168,1,2,34900,211.0,2018
533,107496,70,795,2,2,34980,235.0,2018
534,45726,28,317,2,2,34990,209.0,2018
535,18202,28,317,2,2,34990,209.0,2018
536,99862,7,107,2,2,35740,326.0,2018
537,36605,70,758,1,2,35989,250.0,2018
538,32950,70,762,2,2,36450,235.0,2018
539,84689,7,107,2,2,36550,320.0,2018
540,30797,48,362,1,2,36770,211.0,2018
541,42109,69,723,1,2,36880,220.0,2018
542,23123,48,297,1,2,36880,184.0,2018
543,10827,7,644,1,2,36900,310.0,2018
544,33000,7,644,1,2,36900,310.0,2018
545,10197,69,397,1,2,27480,245.0,2019
546,10,30,433,4,1,27670,120.0,2019
547,15243,69,397,1,2,27890,245.0,2019
548,15500,7,103,1,1,27940,150.0,2019
549,14900,28,386,2,2,27950,150.0,2019
550,26175,48,167,2,2,27990,194.0,2019
551,15000,68,222,3,2,27990,218.0,2019
552,14355,30,744,1,2,27991,177.0,2019
553,28458,60,718,1,2,28401,224.0,2019
554,34464,69,397,1,2,28450,245.0,2019
555,22422,69,723,1,2,28480,190.0,2019
556,5,36,545,1,2,28590,179.0,2019
557,28933,36,545,1,2,28690,238.0,2019
558,20302,28,386,2,1,28711,190.0,2019
559,17894,69,712,2,1,28718,114.0,2019
560,9900,7,104,2,2,28750,136.0,2019
561,8191,7,578,2,2,28850,150.0,2019
562,13399,69,723,2,1,28870,150.0,2019
563,10193,28,461,2,2,28950,179.0,2019
564,25929,28,461,2,2,28990,179.0,2019
565,17908,28,574,1,1,20750,125.0,2020
566,3437,28,316,2,1,20750,125.0,2020
567,4600,60,506,1,1,20780,140.0,2020
568,10,46,216,1,1,20790,122.0,2020
569,14700,62,473,1,2,20830,150.0,2020
570,9466,69,394,1,1,20900,131.0,2020
571,5962,53,279,1,2,20950,131.0,2020
572,7300,28,574,1,1,20950,125.0,2020
573,10,28,333,3,1,20950,125.0,2020
574,3800,60,506,1,1,20980,140.0,2020
575,3078,28,574,1,1,20999,125.0,2020
576,3352,28,316,2,1,21220,125.0,2020
577,10,30,433,3,2,21250,105.0,2020
578,2585,28,574,1,1,21298,125.0,2020
579,2248,28,337,3,1,21450,125.0,2020
580,29,28,574,1,2,21490,125.0,2020
581,18595,28,337,1,1,21490,150.0,2020
582,9306,28,574,1,1,21498,125.0,2020
583,10,30,826,1,2,21540,140.0,2020
584,6500,62,133,1,1,21550,116.0,2020
585,5,30,744,1,2,36870,179.0,2021
586,10,30,826,1,2,36990,280.0,2021
587,10,30,826,1,2,37550,280.0,2021
588,5,30,744,3,2,37970,230.0,2021
589,5,30,744,3,2,37970,230.0,2021
590,125,69,723,2,2,37980,150.0,2021
591,125,69,723,2,2,37980,150.0,2021
592,18,30,744,3,2,37988,230.0,2021
593,10,30,744,3,2,38387,230.0,2021
594,10,30,744,3,2,38440,265.0,2021
595,12,28,732,2,1,39850,185.0,2021
596,5,35,245,3,2,39890,179.0,2021
597,12,30,744,1,2,39988,179.0,2021
598,2900,18,473,3,2,39990,245.0,2021
599,2500,18,339,3,2,39990,245.0,2021
600,1500,18,133,1,2,40499,300.0,2021
601,2500,53,416,3,2,40780,300.0,2021
602,2222,55,55,1,2,40840,181.0,2021
603,10,28,608,2,2,40850,212.0,2021
604,10,16,684,2,2,40890,177.0,2021
